,B10_Spco,D28_Bogr,B13_Spco,C19_Spco,D30_Spco,C21_Bogr,B10_Bogr,B9_Spco,C22_Spco,B14_Spco,C17_Bogr,A7_Bogr,F43_Bogr,A8_Bogr,C18_Spco,C22_Bogr,F41_Bogr,A7_Spco,D28_Spco,F41_Spco,A8_Spco,B11_Spco,D25_Spco,D31_Bogr,C20_Spco,B12_Spco,A1_Spco,B12_Bogr,A4_Spco,B16_Spco,B16_Bogr,A1_Bogr,D26_Spco,A3_Bogr,A5_Bogr,A5_Spco,F44_Bogr,D32_Bogr,F42_Spco,C17_Spco,A2_Bogr,C24_Bogr,A4_Bogr,B9_Bogr,F43_Spco,C23_Bogr,D31_Spco,C21_Spco,D25_Bogr,A3_Spco,B15_Spco,B11_Bogr,B13_Bogr,C20_Bogr,D27_Bogr,A2_Spco,A6_Spco
C2052,1425.733275,3863.823502,1101.639957,1156.637709,63568.95712,1059.968051,3312.152745,857.6842837,1012.144443,1754.035457,3090.954805,2379.801769,7302.724542,2331.69718,3146.692782,2755.847942,9846.949013,1364.146245,3981.325717,5187.858329,831.8379671,1188.343893,1353.070713,1953.083151,2732.070306,897.0162446,860.9370874,4199.716712,1374.24351,997.2338902,3427.643269,1513.622372,4223.82799,1305.990172,2126.990193,953.5495852,4982.29311,8934.760543,10596.42851,1567.373471,2813.428865,8686.006691,2248.041059,1696.171761,6234.062567,4134.455782,4612.602871,4631.572479,13376.46549,2065.893081,1185.485897,3287.502304,2700.39744,2207.688134,5507.125965,4524.376235,1452.585768
C2053,278.30765,101.2331484,3593.410316,130.6411362,78.45403082,96.93652055,76.0546794,2099.291869,87.7092154,81.039363,75.55138936,63.19526421,94.92743211,104.6422573,123.6817675,324.6608469,79.26009615,3009.210451,2921.8967,66.85928779,1217.545078,2277.008325,100.3130734,92.62978353,179.4640183,1350.873072,120.4547659,44.1363043,3099.679574,136.7435886,83.2122386,167.4383024,95.12710934,54.72906304,124.0793201,97.23034006,197.7092497,64.31168356,90.51217371,76.24315638,56.14946811,45.74023812,136.0145321,81.79667419,46.20463277,80.27091866,93.75879315,138.5167568,115.2196714,1434.985144,1539.446553,81.74166814,180.8433393,250.9103706,63.8865003,290.84527,906.4664585
C2054,1479.275187,8152.961465,3128.950303,4486.266926,12498.75164,10550.87374,650.716468,897.2228948,2660.257635,2582.665815,4258.517424,7083.457832,2913.49158,5315.803793,319.7435737,24219.06379,10791.34177,948.253058,5890.656453,9325.106107,2373.916444,3297.035173,12930.76065,2684.647115,3241.464133,7919.483827,986.2806826,1948.476513,4430.494665,3567.085823,1540.002433,2625.531717,5054.290996,1899.113796,4091.881814,800.7805051,4699.373365,9776.179191,701.380909,3600.29502,1563.913047,48101.77222,1259.841829,3232.877167,3110.605973,3724.691214,1744.993703,2925.948821,25001.66947,3079.673465,1225.290076,801.8897386,2700.864842,1923.725963,19130.63793,4020.550321,1178.556195
C2055,3594.552143,9950.244943,3777.65256,3991.852122,4158.182283,6175.096777,6463.767759,2897.627037,5501.329617,3952.011151,8100.566065,8114.788322,10739.52861,7257.326735,3656.061749,11746.53897,5078.620229,3108.985043,9370.63609,3735.24658,4469.160922,2046.580079,5306.841914,9435.828762,3947.958564,5008.866084,2855.992096,6458.335626,5239.212828,2709.024713,6444.098451,7227.573958,4239.148702,10669.89626,39806.4231,2866.076294,38697.65642,7816.13524,6193.57015,5366.330122,5119.431759,5385.729787,58142.56365,10654.07547,2749.000598,6996.192296,5439.044128,5689.832538,5431.125339,84421.47876,4375.444872,9264.497629,8823.384247,6077.586787,9199.11621,3657.468485,3987.949442
C2056,3686.536967,1540.556012,1987.258864,4044.49381,1291.771676,3033.926304,1122.765162,3312.053342,3423.219105,2478.155992,873.9452288,1704.442674,1603.002807,2252.872139,3675.85062,1103.976348,2047.865507,5047.450335,5158.739388,2875.900337,400.4151454,6187.436856,1651.737097,2024.266335,4998.309863,1649.774781,6720.732055,1117.87402,3293.293153,4160.340177,2794.46372,4588.089762,4250.264082,4984.72049,1168.826521,6313.605502,2046.135636,1495.806704,3592.644365,2185.758084,1585.497247,1485.957227,829.4386186,4511.700431,2661.016899,1499.463486,4285.156308,2853.755493,1619.913685,1541.522344,564.2479741,1003.210084,1670.653434,5152.83212,912.5870824,9298.408252,783.1336418
C2057,4670.6526,468.3871284,3190.90737,6212.499509,7260.203833,350.1354286,485.1842494,2927.739672,767.1081946,1068.990488,487.054045,275.0195267,484.8804088,510.1789312,3577.407182,502.5544665,795.4206951,1195.242723,5282.342399,6781.737691,1222.806055,4697.177263,766.7785414,354.3527453,3777.707904,4681.684973,5567.088743,371.9553285,2322.738972,10398.55301,705.350368,694.0991308,683.4549451,554.9104909,605.6469592,4021.423324,601.2287006,553.7239368,6991.610675,3802.949336,564.3623451,789.7422016,315.4485801,439.1411649,6518.793546,2390.444575,2266.706607,3220.330985,515.5552115,718.9792892,4140.403272,415.811815,456.175528,451.8378691,351.1431937,4422.572284,931.0058675
C2058,663.6052426,11572.12263,304.8824582,316.9645156,316.0733179,52449.80631,116638.9194,601.9108786,293.4380949,231.7575253,263646.3298,93420.21701,117842.538,93084.79514,573.585084,30711.584,71323.22819,779.6128342,416.6668258,317.9529915,227.1851667,187.364485,199.5789074,34889.74741,367.9955466,129.9928953,337.3387323,54698.45207,437.892982,242.5692873,103985.4269,32165.63747,366.5330009,34420.94451,56943.97793,245.2544096,11964.40759,220190.9745,918.9024605,421.5893404,88507.91609,15607.52303,63320.33148,204345.1751,228.3465781,111248.6948,664.7880025,495.3271789,20366.70041,477.2780575,295.3562088,104987.8806,20530.71892,8455.442872,29762.23867,671.2129504,387.4361097
C2059,6110.780835,952.6066875,8280.998355,9585.039622,4638.349397,43703.42189,1117.127858,5569.876443,15249.62929,21979.85563,1273.23712,992.6545459,776.897341,820.6474063,1624.513401,741.4680749,1172.107445,12657.06595,10989.69141,13928.36989,14379.77416,12316.5849,10217.44658,34212.63388,2087.840651,11205.6369,14106.02938,1088.257315,12500.41314,9047.243554,1256.266648,35340.89268,15232.50744,50551.56622,922.4315133,16380.6279,15418.67857,1369.458205,748.340083,13286.18337,869.7677833,2008.724946,772.5264631,40594.93749,9325.531643,663.9301796,1520.087827,5379.38762,696.6637949,7964.716588,10476.1718,1113.021271,740.2206446,43619.52525,928.3055048,4300.935174,6106.866061
C2060,2556.591529,7379.917846,688.5356373,2840.211314,1071.867423,418.1232301,23809.41711,2289.951326,3808.650373,895.581041,18930.95272,18348.20385,9654.645749,15626.09564,14817.48716,10826.13871,13127.74629,3304.948114,1496.147448,967.0269029,1268.509629,3538.417587,605.4510703,515.2088706,6282.722671,1629.277076,5113.389234,27478.90158,1422.737317,2507.765635,22585.10939,1204.212715,1314.81231,458.5992917,9040.042432,3015.812876,799.4654625,24905.01466,11617.7952,982.9191316,19025.6588,34416.73122,10320.83258,997.3159774,549.8968295,9502.216155,7672.24077,1698.600677,5560.958326,602.8189531,2015.74412,18519.58344,7620.271916,1911.749145,22189.43669,14487.39984,3055.110449
C2061,6821.390159,13948.64027,7888.030008,6102.011552,11411.50575,5476.396882,5639.342928,5462.208177,17621.4065,7352.219465,7924.185847,8177.763645,10976.61352,6917.812737,5923.582741,7033.361562,19488.97335,11458.85318,6280.323048,9384.171547,7026.734549,7397.826752,11722.73146,2469.637354,5266.320262,5967.812587,8249.187512,8252.787979,6306.986774,9060.544802,9146.971253,1183.589334,10158.38783,1787.66678,5027.312749,6614.082643,511.5939647,8504.886199,6689.777803,9847.775899,7083.992653,20501.71236,4003.331061,1913.122087,11630.55229,21961.0715,5771.6521,13922.80448,36048.1436,4986.436762,9850.325758,6466.20024,7385.514765,1594.913664,8592.93055,5664.454492,5777.53051
