,nitrogen,block,plot,spp,batch,BOGR_cover,SPCO_cover,ELEL_cover,total_bio,grass_bio,forb_bio,photo,cond,Ci,iWUE,PC1,PC2,PC1_old,PC2_old,M10,M16
C24_Bogr,15,C,24,Bogr,other,2,3,85,5.85,5.015,0.835,10.53098914,0.187558341,274.9200076,56.14780491,33.13068548,9.328023107,36.92594444,5.439452861,0.073094861,0.28325551
D28_Bogr,7.5,D,28,Bogr,other,2,0.1,40,21.1,21.015,0.085,6.803228026,0.037767185,72.46294008,180.1359573,33.61681862,44.96761101,36.62785004,-6.018174739,0.030265961,-0.052814442
D25_Spco,2.5,D,25,Spco,normal,5,2,28,13.853125,11.19,2.39,3.96931279,0.02185824,77.67444645,181.5934307,-29.61281502,3.502427429,-30.9643762,-10.73055178,-0.107734629,-0.084601103
D25_Bogr,2.5,D,25,Bogr,other,5,2,28,13.853125,11.19,2.39,17.5,0.104,98.2,168.2692308,-27.51206515,-2.2438105,36.84737879,17.63356896,0.124245044,0.008893104
D26_Spco,5,D,26,Spco,normal,11,0.1,14,13.585,10.305,0.28,24.8,0.289,223,85.81314879,30.3629695,-21.77947385,-28.36285561,-8.991132951,-0.008986651,-0.144722626
D27_Bogr,15,D,27,Bogr,other,0.1,1,18,18,17.99,0.01,20.3,0.142,133,142.9577465,32.13635006,-1.57579528,37.11073589,-15.40684343,-0.13962768,-0.036840466
D28_Spco,7.5,D,28,Spco,normal,2,0.1,40,21.1,21.015,0.085,15.8,0.337,276,46.884273,-24.26037654,-15.42070922,-31.72542567,5.934577953,-0.114394695,-0.160882543
,30,D,29,,,1,1,35,8.211111111,4.84,3.06,,,,,,,,,,
D30_Spco,0,D,30,Spco,normal,8,2,14,6.33,4.945,1.385,1.63,0.0391,283,41.68797954,-34.61289942,-1.614013892,-39.2289957,-1.478771219,-0.184591257,-0.139035641
D31_Bogr,10,D,31,Bogr,normal,1,0.1,40,10.94,10.11,0.83,4.54,0.0424,186,107.0754717,32.31623666,17.65942872,38.4978957,9.035304289,0.071789615,-0.098401469
D31_Spco,10,D,31,Spco,other,1,0.1,40,10.94,10.11,0.83,4.162156619,0.063658251,249.6651815,65.38283025,-20.78099761,17.19920917,-25.20091668,12.76497968,0.212012822,0.076847397
D32_Bogr,20,D,32,Bogr,other,0.1,4,38,6.795,6.765,0.03,14.24939901,0.07993308,77.90029785,178.2666076,30.55742746,-8.099909437,36.6489191,-4.977543849,-0.027708656,0.205644143
F41_Bogr,20,F,41,Bogr,other,1,1,65,4.025,3.9,0.125,21.4,0.124,88.4,172.5806452,33.31808241,26.49706926,35.81662621,13.50498827,0.112957266,0.035602748
F41_Spco,20,F,41,Spco,normal,1,1,65,4.025,3.9,0.125,5.440307149,0.05014943,190.0764241,108.4819339,-31.79496638,3.153753393,-36.23770799,9.109723254,-0.006581064,-0.16638553
F42_Spco,30,F,42,Spco,other,0.1,2,44,5.179074722,4.925,0.015,14.1,0.207,252,68.11594203,-22.72791272,2.932223956,-25.85267202,13.40051093,0.117171439,-0.051167176
F43_Bogr,5,F,43,Bogr,other,1,6,25,6.675,6.595,0.08,19.4,0.116,99.4,167.2413793,30.815979,-4.98785181,35.06023112,-4.229967488,0.00672346,-0.16912942
F43_Spco,5,F,43,Spco,normal,1,6,25,6.675,6.595,0.08,5.918740563,0.064702485,220.958125,91.47624798,-36.1628365,5.838360882,-41.94536972,7.570659613,-0.17125617,-0.117851974
F44_Bogr,10,F,44,Bogr,normal,3,4,17,10.10857143,5,0.06,7.653979887,0.103451336,244.3064603,73.98628363,43.37312429,-10.39576384,43.25780695,7.306738894,-0.065359776,0.03823399
,0,F,45,,,5,1,30,3.435,3.06,0.27,,,,,,,,,,
,7.5,F,46,,,0,2,39,4.915,4.765,0.15,,,,,,,,,,
,15,F,47,,,2,1,17,5.295,5.255,0.04,,,,,,,,,,
,2.5,F,48,,,2,2,14,2.24,0.875,1.365,,,,,,,,,,
