"","labels2colors(net$colors)","X","B10_Spco","D28_Bogr","B13_Spco","C19_Spco","D30_Spco","C21_Bogr","B10_Bogr","B9_Spco","C22_Spco","B14_Spco","C17_Bogr","A7_Bogr","F43_Bogr","A8_Bogr","C18_Spco","C22_Bogr","F41_Bogr","A7_Spco","D28_Spco","F41_Spco","A8_Spco","B11_Spco","D25_Spco","D31_Bogr","C20_Spco","B12_Spco","A1_Spco","B12_Bogr","A4_Spco","B16_Spco","B16_Bogr","A1_Bogr","D26_Spco","A3_Bogr","A5_Bogr","A5_Spco","F44_Bogr","D32_Bogr","F42_Spco","C17_Spco","A2_Bogr","C24_Bogr","A4_Bogr","B9_Bogr","F43_Spco","C23_Bogr","D31_Spco","C21_Spco","D25_Bogr","B15_Spco","B11_Bogr","B13_Bogr","C20_Bogr","D27_Bogr","A2_Spco","A6_Spco"
"2494","turquoise","C2494",8.08260591128368,9.47146704771795,8.79337148819149,8.94556497043251,8.62396046318853,9.67303588751788,9.28035801474481,9.01155775215469,9.36269692303079,9.73497413961672,9.67159748276824,9.48572382094232,9.64838200845831,9.26799436941928,8.89327858643666,9.35643446721337,9.87267331333532,9.38590785628664,9.04245123717386,9.25356757438352,9.22228956219409,9.25208362201023,9.48053435481172,9.1462300847867,9.11882536767618,9.36524632965216,9.35794336670821,9.39397490003985,9.29416475731529,8.87718950896194,9.61691542491364,9.04885835540422,9.68256482461709,9.69205854597377,9.70195334558566,9.39061216443785,9.16406877772024,9.56894598549218,9.49578400475335,9.35667017431424,9.49771505925544,10.0564827344448,9.24872133476318,9.51649774489197,9.17280444595568,9.64319016774191,8.90840211494853,8.39199704777105,10.0024657861235,9.18103880756615,9.31812086621165,9.15657702338747,9.20867998760064,8.75843773526479,9.29385406051712,8.59316467309987
"2495","turquoise","C2495",8.38235458933704,8.84461334231545,8.41851250659617,8.21760203475518,8.58670204608097,8.02925161341141,7.05907736845913,8.32733529288425,7.75224689683709,8.10243364502534,7.88559192513405,7.78659820089434,8.94196874432245,7.78682862646177,8.81258960182726,8.26668883979255,7.9404692673401,8.07762390520849,9.8028136508598,8.77963767205094,7.58812884164712,9.26281437200641,8.00044860878971,7.3661835224504,8.6838731728562,8.8536104603839,9.13662554712993,8.1975153848625,8.56380330786466,10.4288981047575,7.77403280200015,7.60372084565809,8.00441700320236,8.18105916547534,8.19098159677377,9.0517088939498,7.90734103103865,7.70026653731851,8.5404969977947,8.65825726426012,7.57384160687857,7.87108632158204,7.0900902483449,7.84009823613928,10.1997465943999,8.93038482769568,8.57572865331203,8.13958639655682,7.63284210201082,8.89008927591458,7.45258077483976,7.47320255291155,7.96441615641231,6.57650595189359,9.18931889477727,7.35887347386912
"2496","pink","C2496",8.2622520716901,8.08734106448348,7.58508502082277,7.80270767569219,8.01150187351525,8.05551013543252,7.19567394168324,7.23720918463456,8.36046669872954,7.43246611486119,7.34127089224447,8.5059880081849,6.76517437045051,7.13830818464761,9.39705432799881,7.28026255983209,6.80682343729782,8.2638352083274,7.22903247781616,8.475138576907,6.7604897881477,8.58929296906792,7.49097188036715,6.58514163587756,8.2681199085274,7.98927619266558,9.36716282913983,8.27846149469781,8.11927166104515,7.89139800259611,6.48486140319775,8.33776568098733,7.99302092311762,8.17049073282359,7.64594834663411,9.65781503094036,7.41622925819833,7.64130698160564,9.41303175278892,8.06090210760487,7.9385497561519,7.27171482573233,7.07950390143765,8.17936792506299,7.73269007172735,7.59655277438207,8.75625044447894,8.89990845004042,7.4571694868264,8.87178398738662,8.26375048184371,8.23833806165919,8.60476397227701,6.96953799371023,8.96709158291999,7.74701422643392
"2497","brown","C2497",8.57881793882266,9.33479467632563,8.69339367577815,8.69710200321381,8.16522041294929,9.15133317590872,8.86347808326257,8.41666317210268,9.0964089101399,8.73251306397444,9.59945536769959,9.40191706911151,9.27789079903579,9.11957302528877,9.01064587865707,9.36794004562546,8.31102385856142,8.60864908043011,8.53159281974617,8.2557348740747,8.5771707468951,8.14675510270729,8.48380224708258,8.79442300573943,8.8337203619887,8.72430703371923,8.64916931200697,9.12251995306576,8.77816964177661,7.50089503990986,9.0356773718125,9.60311617700235,8.39080362007963,9.13457253414577,9.8040924435767,8.48531089945584,10.0752011714967,8.76694224074555,8.71533672089365,8.77639430454504,8.82565799691946,9.30166665675652,9.36557994074408,9.27613414994914,7.41968574738246,9.78969937523709,8.86992076714054,8.7150222128536,8.72097783333297,8.66198623204364,8.99309852105128,9.30033190964022,9.3099575886212,8.8196542806693,8.64371516511422,8.66411597159726
"2498","turquoise","C2498",4.919663636081,5.24104152069343,5.90131701524884,3.90639667809088,4.62989423905982,5.97515951687682,5.03851967493945,4.72655746167195,5.27006523096566,4.80440677524771,5.47286591753393,5.36362686911358,5.63700988797222,6.50090255336049,5.38249902090657,5.37819125469353,5.82685613068027,3.96140181193273,4.18746799617288,5.8897431205372,5.62221558369969,4.42764742083334,5.11143128835842,5.36865896922137,4.76447033986699,5.41717537976451,5.3639847051751,5.16923640099074,4.15545866343963,4.77747822695775,5.28040735521955,4.28682364443705,4.42291238372177,6.36559620039648,4.43713673967244,4.37888577834467,5.33608567643568,5.5335719055946,4.98999528306085,5.05501157967385,4.94724497029757,5.4111762287212,4.59331988394198,6.13505591568829,5.5149529331951,5.36563616189836,5.57701026189428,5.95141739372703,7.60472490280071,4.73668233218104,5.13603152585209,5.93654552802242,5.04661811773321,4.6578601992412,4.93982176598308,5.93598814307257
"2499","brown","C2499",4.74711268227009,5.02375969603659,4.33609832273354,4.21118182826084,4.01487114474992,4.68553048568548,4.53875838329281,4.47596956510498,4.50719614051206,4.48919812719776,5.22761059201632,4.92946164867807,5.02081851719942,4.87484824204415,4.68196644342515,5.23007768775362,4.58322183687394,4.08200948162561,4.45278580927865,4.53127207338154,4.60532975525624,3.76389570467577,4.271261320901,4.91955285611717,4.38660215723886,4.52935908212858,4.17653827666711,4.97183952979063,4.29542834621507,4.39215519630142,5.01477602886042,4.77376220334935,4.0096355384185,4.83302415066564,5.67974545227781,3.92765029340836,6.28531697526275,4.61920674370402,4.79204084228329,4.70613566711544,4.08139704716318,4.41802519774414,5.45649035256213,4.80218444117619,4.51216701355466,5.04069210653782,4.54322864538659,4.76704012183504,4.68639579756768,4.2672539293917,5.00034273653836,5.28830756444347,4.85180001163234,4.54875329703993,4.56721710645783,4.31277659601514
"2500","turquoise","C2500",7.25823500251115,4.57672310477333,7.14425708934219,5.66941170739886,6.88802174260712,4.93402441196731,4.30491445798915,7.87143239590298,5.81059407727791,6.961283522609,4.19310016358876,4.84478569370108,4.07683052171591,4.82861257023424,6.55093002252376,5.45203605690301,4.85905390797922,5.58440068880452,4.49594372295397,5.36055252510659,8.2632816589207,6.30578375466946,8.5100933059728,4.92298167964356,6.30238192308527,8.36702356825657,5.9393337299909,4.85076540113286,6.38247453978813,8.6874279470705,4.67858503837339,3.41989487008589,7.26615289177448,2.54193207835061,5.0435317303867,3.94549550362688,4.03526452424456,4.69986995157951,5.23696073410943,5.6602139142051,4.92191358155175,4.6867835865179,4.99886767991091,4.09869317860258,7.68501689018171,5.65509576414052,5.76078921904503,6.8746081729511,5.51476374042493,4.64147189684256,4.47938452472941,4.50704451979992,4.67980784497583,-0.874150383948781,5.49747191696836,7.34698784542032
"2501","brown","C2501",6.62065384366132,4.24872902652153,6.87631627557166,6.24736225125418,6.61135100757172,5.02127661586318,3.7095326248851,7.59589449308496,5.77595328842006,7.07737903129649,-0.308312573204219,5.2449154108749,-1.35082899836734,4.48411201616659,4.97094469434294,4.08813813591391,4.51503824421667,5.84252880901232,3.08807433557883,5.2220483600407,7.35089622163547,5.06055566759241,7.77376353762738,4.67560542755901,5.16183510818197,7.95624537953068,5.69319987798512,4.51173542928817,6.47351238915498,7.45829383493405,4.14484656025024,4.67297384077041,7.78444876061382,4.40347578499597,5.63047269994846,4.45034169394803,-2.8574308755155,4.07626233745839,5.37106285512966,5.87687807904378,4.65755957030653,5.20073861759025,5.48618721426395,5.16142286271372,7.50369178188524,5.22343988402231,5.43652800990734,6.68373153791455,6.22024235081375,5.00266593628637,3.9512491919962,5.54274572055038,5.64622765884761,5.12183902644117,5.96101642985075,6.52609290427342
"2502","turquoise","C2502",8.29938965431314,6.80466060785215,8.76189981858616,8.49927646069069,9.60054745350895,7.2751922624672,6.30898649552783,8.87156638205214,7.16384727150652,7.53791537803277,6.31735063149489,6.64082463911244,6.37096999525326,6.57882896582341,7.82773796223182,6.63504318877245,8.0061000275459,8.37880278867045,7.75456689760154,8.83010871252166,7.79945097422523,8.93395683282725,6.91409537304313,6.36146003424492,8.58282244993076,8.85889969660709,8.08860520316781,6.61142353182869,7.63399319918184,8.46687186283264,6.80102896820355,6.23920414127669,7.00872977892,7.11578746009794,6.91566583216598,8.08378266247852,6.28119016609548,6.47253956197827,7.33918502981155,8.21640817767183,7.77301708055928,7.26694256074262,6.09211320962483,6.0046264307469,9.30104398235857,8.88226993001879,8.37973490801102,8.51244525759598,8.1242942698029,7.79032892616553,6.89593495337162,6.51971705684682,7.95408517163133,6.21800601919181,6.96822603556229,6.81886746891988
"2503","brown","C2503",8.77884024767447,9.43838279742281,8.54781936013014,8.78828694188516,8.56396250208363,8.932225471437,9.10478725823515,8.41931841887343,9.00017119280657,8.67517053023587,9.35923583731816,9.40397709629722,9.44696093699329,9.13764151234219,8.67405981857194,9.54829172132293,9.0049102717594,8.62841399008319,9.45127236661651,8.78172340897441,8.62385603194078,8.45483293570833,8.56138384661455,9.38525528635503,8.6952356330169,8.53726142128007,8.6183196814648,9.08617626350872,8.80673715322578,8.41498287909789,9.14663409708252,9.36761828149096,8.88951608444522,9.08057986120298,10.0796081982152,8.64323921692648,10.1097860687473,9.17500301610943,9.05406126783876,8.94577464098851,8.82678451281878,8.93414776530959,9.81052508736952,9.41269776661572,8.38757822813197,9.22586691585452,8.98256277132514,8.76269917547632,8.97943617482944,8.62909426281012,9.21627494008207,9.35184711331959,8.98435793308115,9.2662470478198,8.48032758917147,8.69096645930838
"2504","red","C2504",7.75897063694572,6.38544634405322,6.94788739687222,6.8429271067264,8.12765550905338,6.57576743598096,6.43136751920053,6.68105325719016,6.63248656447871,6.64491416388946,5.67467051263057,6.26013306752565,6.71031033846446,5.58406418452431,7.04136319881056,6.29330121134022,6.69336484047307,6.7826764164631,7.44215345142299,6.50584497800364,5.98300217855464,6.62557514971085,6.89848959026305,7.83839621754895,7.1319690258141,6.68584520200059,6.52513156687343,6.03884786535591,7.11144407666111,7.14864547177592,5.7099717495533,6.03653473239432,6.66533925298351,5.05923152644626,7.11901261067464,5.96192196114995,5.20847463541919,6.38843318222811,4.73622074444875,7.1155465845293,6.58319896401379,6.8402158260656,6.04947080945019,7.21944337764609,8.04158705419034,7.40721816989656,6.4377029952455,7.84487814685001,7.39857144480192,7.17882059389608,6.50977619226903,6.47141919482693,5.88260426607614,6.22688590858921,6.71673934107855,6.08836183860216
"2505","blue","C2505",6.58750051222215,5.62229418031317,5.90501758880415,5.88844817097367,6.35160318405533,5.73893334993539,5.68926069153777,6.22711235967243,5.73768615916294,6.08462240027276,5.34107927567912,5.62361285988898,4.94329976244151,4.70072258245632,7.61723001240874,4.70529698115164,5.60285700781591,6.08550802521162,5.65248236831562,5.73295343503014,6.04419470074369,6.28957871980134,5.93559191749897,6.26329839589082,6.27008624979021,6.0837130103197,6.06393618542958,6.82929032575876,5.93445321427462,5.52559720282886,6.08894081422395,6.83147234828914,5.74672052698612,6.01439149451153,5.80217126489822,5.4697005978036,6.72725917271908,6.38658777402288,6.80405807029119,5.99670716852119,6.49216896182945,6.604368151731,5.75597585648817,6.22282255559725,6.12541543207704,5.46424570859352,6.37101026762983,7.02590012562148,4.95095282227984,6.00988241950487,5.60157820688841,5.17826162258926,6.83710896023291,6.02732372371673,6.76900964007604,6.08984883721697
"2506","turquoise","C2506",7.3701191897527,9.70511561397501,7.27291942278245,6.94211980550176,7.27261499549883,9.78516395580293,8.90431531385541,7.14081483739214,7.30368635092781,6.53825996893779,9.61254667968875,9.69947207200102,8.35757563381905,8.58595222081393,7.21739273512406,9.00354101882549,8.40590106872844,7.91624140438284,7.21904864961453,7.37344073896536,6.88478994739517,7.21732979354517,7.08271756598976,8.99744621174267,6.99498182608724,7.24992782719832,7.73992628696872,9.10051175227818,7.16789686590021,7.25893746822564,9.54091249257665,9.07264846462938,7.31104446415276,9.32738425274711,9.46742814637546,7.57443406937909,9.18374948124789,9.22871043909781,7.3401680315121,7.1373560932276,9.32246254405401,8.75944311537251,8.84920186721964,9.30731719670142,7.58233150488565,9.25461940923885,7.64427206744327,8.57837778931092,8.95248736322508,7.32121018415111,9.49632257779972,9.17628783822301,8.57635155329288,8.79573672549435,7.27948648502775,7.57203626038064
"2507","turquoise","C2507",9.73097177595038,10.1297007858153,8.01973806681651,10.0768555850585,9.58629232804082,9.30231241275246,10.3593852338593,8.39014332220643,10.6156239914621,9.02517354571935,11.4844740159438,8.80757479414296,10.5208438873719,8.18861939249455,8.05674760406087,8.41364956358449,8.72409048698794,8.52035091395854,9.36159170303667,8.53478898269499,9.4558326062422,9.45328531999758,9.86107254766087,10.1232465551216,8.97350055270338,8.43146412064773,10.1344755424324,9.96045610577356,8.14447942271317,8.91171820175486,10.1441987001471,8.9694247403941,10.152289414687,9.55165841582864,10.7120789401145,7.79904137147062,11.1630723902218,9.5329834767961,7.94608686563222,8.2322659454764,10.3218396269426,8.54727745879843,10.2161035245707,8.21032443871794,8.19931513099253,10.7393974626184,9.02616973479435,9.36544660454604,10.0422710897622,8.39658682097345,9.84037720454693,8.64358201403981,8.77544038961608,9.78375235778148,8.26152181530865,8.27450718721755
"2508","yellow","C2508",8.03943009554389,7.74595059355475,6.93561529444196,7.42461484524736,7.78366869037055,7.50227557590146,6.62884909654463,6.31165891226193,7.86864747943801,7.4427213510214,7.13474347323488,7.10759621114328,6.60615845406729,7.25680065605576,8.6660808978283,6.45756156733291,7.78833259233159,8.98068332835249,7.90034733553848,9.49253103947531,7.2924578183177,8.13755802304301,8.24289158051721,8.07135354460203,8.10927247911142,7.1527226794291,6.89407197359635,7.31856374276335,6.86090374388645,7.13922701053076,7.18430868689248,7.96874430450735,8.25190437252537,7.97266610733426,7.54827532778515,9.04024037987951,7.38902942665575,8.25981088711369,8.23428166847082,6.84390792661239,7.3446053541383,8.26015962526641,6.68385494061948,8.50262473451122,7.42298799583157,8.37311460136265,8.95208542276474,8.05613973203928,8.2724863399953,7.82535877041029,6.91919701933195,6.72575041374491,6.60784931789828,6.36816548637299,6.84243732127184,6.73252258333511
"2509","blue","C2509",4.29412247076859,4.649692145159,3.56807487691382,3.51548747371717,4.40165434152531,4.12772043924952,4.51999688840184,3.845080091841,3.45869452979183,3.70163702489029,4.48340916662178,4.32924435250608,3.84748840086262,3.52266624544075,3.79066555919823,4.11164246354579,3.90300282606964,3.71544233373725,3.19215137263899,4.29785753068764,4.12332338805741,3.63406736497067,3.84164200872674,4.67107896788943,4.32405442541067,3.92237026897826,3.58767734611507,3.95072083854521,3.67272762325322,3.88604664936661,4.0967801920671,3.98757525968988,3.45146543353483,4.36980045510553,3.82226956913878,3.77115225980781,5.03109309560782,4.22319005994798,3.82064248400019,3.34587213055222,4.00324110404231,4.16898782448325,4.53103044193633,4.63802852323811,4.07817412084495,3.84068510205057,4.3567046708441,4.76050277166082,3.93942066756061,3.62583460915315,3.88851095545093,4.9755281474458,3.80422858266444,4.69414312976359,3.80806547830672,4.24698371040361
"2510","turquoise","C2510",7.88560003744228,7.86875332948215,7.37512324541817,7.4284538167433,8.01478188313194,6.93521209884851,6.63261738624236,7.57908818138239,7.64074507542761,7.23625211216801,7.20635712111942,6.89550684675565,7.71703290718062,7.6437387505525,6.96710385619306,6.36876975162747,6.92209008555172,6.60291919334104,6.75381904724258,6.93036661991136,7.08158026526777,6.54615583270393,7.28286179172615,7.15472818726683,6.94670696299889,7.54915573658186,7.02401926368683,6.70442377932669,7.18153543046744,7.7715425664272,8.07929138458589,7.27640451981579,7.38916886452222,6.69878094562203,7.10604542533155,6.71500710403422,7.16118294846182,6.77318313113621,7.21894109747758,7.61965519324575,7.83215702255209,6.81434744489226,6.39293464364185,7.49980710458532,7.14597253777719,7.05795354519224,7.48169688610514,9.08237915047565,6.98024807965948,7.3810114037501,6.55807610771972,7.01123324669748,7.12167965519566,6.22772845817356,7.42907380723558,7.87400569277792
"2511","turquoise","C2511",6.43959329526576,8.46552208246886,6.0961805317253,5.9799440788665,6.61374351503284,10.5771022926811,8.18460018756182,6.19155962882269,6.59911626627925,6.51577684401623,8.61085022869733,8.29576620019388,8.70948631451888,8.18861688807612,6.39580161379989,8.28252909604127,10.137826077478,7.28342357872755,6.12116108654204,6.43553604124762,6.33028536240796,6.75809552150038,7.20629027136564,9.85414830197135,7.00443102403521,6.68469221830347,6.87506998333266,8.56282477817465,6.30559381866986,6.62122264593837,8.04888990890052,9.29000972011357,6.1481184956421,9.68766316442903,7.84121750137608,6.606672975398,7.39616287893822,8.74609842646288,6.58127662490445,6.01441464117488,8.79619271502568,9.705767539524,8.01571177919222,8.51891991057828,6.26228141991686,9.91201046545147,7.29382234264294,7.28998783251296,10.4111193860697,6.76765569056597,8.55429342839284,8.47636767502626,7.35987873133917,8.58461238489437,6.89072563381328,5.91424399995308
