"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","PC51","PC52","PC53","PC54","PC55","PC56"
"C11",-0.00941274642800696,0.0470891619381906,0.0137643380913977,-0.0225545133455124,-0.0247815129869951,-0.00741137959496424,-0.0342739407262612,0.00867093189529377,-0.000541505164881596,-0.0534584211057603,0.013508902505461,0.00443830243388718,-0.00966507506048098,-0.0362318195406069,-0.00646381283555767,0.00796122373709223,-0.00515758970724597,0.0206048318788079,0.0255705984691669,-0.00886999299974065,-0.00763036151061609,0.0151639752106074,-0.0102839410929541,0.0115388779071602,0.0020274231296728,0.00100921926884804,-0.0130521245005746,0.0105961951419492,-0.00303537818213967,-0.00349360262771093,0.00741903751046776,0.005394720960559,0.00890125250287896,-0.00167857723613519,-0.013989524554258,-0.0136814001939355,0.0120659012542652,0.0115828333660507,0.0191201014790178,0.0131606180260983,0.000980783986355915,-0.0123515467301802,-0.0154662161119555,0.0101888299240035,0.00308977331406791,-0.0143701151905729,-0.00410011229331828,-0.00396963689619558,0.00871813232275707,0.00578622024650845,0.0066136136924038,0.0209143915053876,-0.00663543145129991,0.00525036056548938,-0.0233396608087635,0.0118678497488769
"C12",-0.0306378655401816,-0.00356351202297392,-0.00038698525376694,-0.0019235314688212,-0.003684986597259,0.0106805646827588,-0.0017495149773663,-0.00174000624513919,-0.00339170731959703,-0.00827087913730558,-0.00331356378300938,0.00303621164294306,0.00202988656394178,2.9111050584928e-05,0.00486708642804702,0.000345943984675217,0.000862970142558635,-0.0054675434078285,-0.00342197139278029,4.05501027870807e-08,-0.00795819062116737,0.00519762614429453,0.00375729627697928,0.0109530892249717,0.0113944786119873,-0.000657021031113869,0.0101946190648403,0.0101486392204888,-0.00186004680654744,-0.00350535669080213,-0.00498067418153388,-0.000555627189317344,-0.00469941878910892,-0.00426085155159723,-0.00369605288548286,0.000270258561645197,0.00507287903138126,-0.00144652115907535,0.0148255211098306,0.00191985224764337,-0.00749418762590111,-0.00313496193327076,-0.00477438846030401,0.00169109009030703,0.0110956284285876,-0.00194981785244118,-0.000498325808213946,-0.00547706415913519,-0.00514351681624052,0.000515346594960512,0.000732913804539773,0.00183562160000152,0.00719864472961137,-0.00901388955513805,-0.00256226603809952,-0.00595101621281995
"C13",-0.0277969433500759,0.00909258194454557,0.00887987661600621,0.0111533557011483,-0.00833006247733578,-0.00576301151527988,-0.000846510521997734,-0.0196949721248624,-0.0391156286703792,-0.00280884573972075,0.0163023145426528,0.0144695829777377,0.0051923195782433,-0.00485258244714551,-0.00451151763301704,0.0165265607938364,0.00462184009036472,0.000757558127549034,-0.00431748592583681,-0.00772774369080763,0.00843128733579624,0.00801108344390324,0.00621461796957072,-0.00857447879681288,0.00377448201369655,-0.00759360451087396,-0.00143714765166748,0.00112129734469814,0.0166152192719991,-0.00496109573725531,-0.00421573992846805,-0.00942213988681338,0.00439990221920842,0.00427028506289583,-0.0084114113789423,0.00193600047626107,-0.0157258981967125,0.0156235949126349,0.011750754540217,0.00364416963234476,0.000213812955118797,-0.0121362597938881,-0.00554008566653718,0.00339326716759394,0.0146731644419505,0.00643046782190105,-0.00819083172993717,0.000638346752892525,-0.015494383139401,-0.0105285544641959,-0.000145801194535379,-0.00761874958720563,-0.00419725288657251,-0.0026492066085332,0.00219643294727778,-0.0191513722991076
"C14",0.0121073670821628,-0.016091276855938,-0.0404264684212872,-0.0151747398096337,0.0229861382299814,0.0035982692645339,-0.0159962102857152,-0.0550039607809922,0.0316152806269109,0.0291374116198013,-0.00743420176611574,0.0284552148836558,0.00304443644100518,-0.0184205085037517,0.00881687823594097,0.0271035553055059,0.011986553626161,-0.00923462127673041,-0.00116279958931603,0.0219345975000802,0.00832036300504272,-0.00138021072790082,0.0193310316378415,0.0149996763389144,0.00869701889527326,-0.0281376598965147,0.00410738910503461,0.00213606556008708,0.00105808195596703,-0.0212712017357708,0.0309847562369803,-0.00075827700343093,0.00879782303793221,0.000107949232626283,-0.0180604248339826,-0.0179201409075163,0.00791029177183113,0.00308812658383192,-0.00138021558773262,-0.000540878049199042,0.0115052624037022,0.0124687795323108,-0.0115950249757161,0.00167801073458304,-0.00472295024164934,-0.00880784272456034,0.00183113045074454,0.00672733556096167,-0.0169142087619258,-0.0115655915513602,0.000113238216383525,0.0501320139172296,0.0103590229727907,-0.000361951112027843,0.00680378532086505,-0.0352287708542593
"C15",-0.0251497157208462,0.0125060120499502,-0.0134307090696713,-0.00636159884240335,0.031440895211053,0.0011771834457029,0.000403921690523411,0.0296993824792569,0.0184795858364026,-0.0121791779734152,-0.000453174582149954,0.00100893539386166,-0.0162868805837604,-0.0270437300319945,0.00746993451933504,0.000462111741033333,-0.00713287100906968,-0.0181640162333126,0.010904231294444,-0.0105666502870872,-0.0207278245520794,-0.000190587229315482,0.005172738824661,-0.00895655089292437,0.0197363072916232,0.0211113167830193,-0.00395274770472907,-0.0206168420374998,0.0039133699086858,-0.0298830955843615,0.00357768998793543,-0.00190275058687451,0.0012896520054726,0.0130068048131025,-0.00487005162049688,0.00563664637261711,-0.0161756547001654,0.0126883603858705,-0.0120518004603966,0.0219751678262407,-0.00583076370481162,-0.0137639679807816,0.0212994938507674,0.0159475820935768,-0.0169569733424921,-0.0151943410759048,0.0084815573403154,0.012324126208154,-0.00809487234757388,-0.0118194834415026,0.00172871611996347,0.0013665331633935,-0.00224592143837142,0.0116314578333801,0.0190101352812084,0.0629958341407737
"C16",0.0182131283761226,0.0292825927739407,0.0303774596401194,-0.0243829562593892,0.0129320186044447,-0.013796182406723,0.00665415709242209,-0.0197829285284508,-0.00712791774591847,-0.00916118079992365,-0.0171019495487269,-0.00565464676745535,0.0141246734357573,-0.00680722894979828,-0.0242518053609567,0.0231045744149527,-0.0123316251880018,0.0127145232581907,0.0167465121392043,0.0299326242849887,-0.00960732830248536,-0.0109449711256057,-0.0521601970295468,-0.000742332937735627,-0.00813182286476652,-0.0259111747885722,-0.0160723328262809,0.0265408769812178,-0.0106468140931399,-0.0124289929729091,0.00309603654016603,-0.00251884097794087,0.0105536513227876,-0.0111760865671458,0.0290704144897303,-0.0150485636283649,-0.00465183068150307,-0.0171951589481241,-0.000343521623710351,0.0213791552836174,-0.00769850294073626,-0.00357219310982056,-0.0131896612927136,0.0165800293124123,0.00872603298006808,-0.00282413177639061,0.0195676463108828,0.0172177300154801,-0.00443863244939545,0.004926355518248,0.00184254660809842,-0.000828922233681268,-0.00105936364382665,0.0077492730545359,-0.0214062813152483,-0.0486955746311594
"C17",0.022724728130927,-0.0209331373364007,-0.0383593728990205,-0.0147121237759896,0.0143199743879971,0.000662408673669445,0.00834508457888126,-0.00899584549960949,-0.023528540595176,-0.0138427630065944,-0.00943917682141764,0.0106880807849832,-0.0141722213839919,0.00843242314434659,0.0136428892691187,0.00131479901854536,-0.00080235610418172,0.00674512847549701,0.00471989462141432,-0.00889693674720017,-0.0101945103111636,-0.00408103442408774,-0.00176178548572154,0.00188208258307391,-0.00752902607471695,0.006892600228904,-0.00106763127725121,-0.00369358832522222,0.000224932394419285,-0.00156760517780304,-0.00168905791343392,-0.00195967648024403,0.00374989058092672,0.0023565861885306,0.00360474022597061,-0.00127811401229964,-9.42402014352466e-06,0.0106403560975714,0.0022672289059331,-0.00586818873221886,-0.00575102587516164,0.00118526110690003,0.00613780836826483,-0.00252929121642419,0.000818804452354277,-0.00147249077751326,0.00265529006367858,0.00359600169257743,0.0100430239296635,0.00325634938838272,0.00618730444493899,2.25287978490476e-06,-0.000783446493814923,-0.00357126235844196,-0.00544424295775279,0.0155935265507668
"C18",0.0210774120174767,-0.0235872865203815,-0.0427280385494012,-0.005759325897424,0.0113942416041717,0.00364809881194349,0.00884179452245497,-0.0149849500913587,-0.0175997047116263,-0.0127552197403671,-0.0214235351362402,-0.00344567334144413,-0.00757623958346386,0.0122536387616143,0.0143533874868586,-0.00223018408891857,0.0115482344687681,0.00747202470893,0.00243425941472433,-0.00166915125787287,-0.00590370182863612,-0.00396104175797881,0.00169433970491103,-0.0043675688891541,-0.00956258312159931,0.0141382754830399,-0.0065013787304717,-0.00511807158829958,-0.000238048077364067,0.00203113649406268,-0.0072870196283381,-0.00634695680776568,0.00747559314587532,0.00348749472519756,0.00230607297285844,0.0068198509805345,0.00189777624052357,-0.000296016155726278,0.0048795511322035,-0.002656789047649,-0.00775604530255587,-0.0135254566441925,0.0114669596311623,-0.00424440435215559,0.0137756113319759,0.00816349499988509,0.000386822653163193,-0.00351198111327706,0.0104971230372034,-0.00549097355159257,-0.00487468334529411,-0.00303601388740038,0.00233156056292191,-0.00407500876312279,0.00856592282625055,-0.0177052639727128
"C19",0.0092778522344746,-0.0308569108734807,0.0255780747212341,0.046082815594834,-0.0280396730409675,-0.036792838589905,-0.0270192203152611,-0.0183350536421662,-0.00376224996326897,0.00484247461556926,-0.0120995328161198,0.0165458815318619,-0.0154674486125418,0.0297822806010376,-0.0124232272761732,0.00306269184804557,0.00389898726173483,0.0153087344472218,0.0114689558775641,-0.0111645166162974,-0.0152640859537696,-0.00632825141460565,-0.0186607159285785,0.00443959673201815,0.00628691938969663,0.013645652968296,-0.00911922805451238,-0.00149698033867706,-0.00253016964933618,0.00893653087837088,0.000458056080911619,-0.0240788759482847,-0.0106180047679248,0.00620535546349249,0.0153418911667786,-0.00046668544099258,-0.00633533132491144,-0.0305458737748254,0.00356366903354974,0.00898029938501655,-0.00629069421238096,0.0209369423543968,-0.0055136762810398,0.0238958698934725,-0.00136653781938085,-0.0176777946367454,-0.00162082112700872,-0.00825507972365373,-0.0126421679444449,0.00128989853950647,0.0104477770695113,-0.00581636414455337,0.00541980185740565,0.00398294473856026,-0.0469202709132739,-0.0175244367689757
"C20",0.0284811989500019,-0.0153685659558993,0.0159165194732101,-0.00288437327633871,-0.0127364674948402,-0.00285153028926392,-0.00615367034890809,0.00502418709692991,0.00255982169602331,0.00272901703057597,-0.0108452833398648,0.0140040989862188,-0.00722863614838085,-0.0116247473830001,0.0057390979767139,-0.000871053231395413,0.000547388971102359,0.00845633005824928,0.00751160133495997,0.00116836660034796,-0.00391920523303565,0.0233840924337479,-0.00167921551836888,0.00329996040976785,-0.0147446843349279,0.0113250528879116,0.00125414338830098,-0.0025902996246974,0.00218934143808938,0.00784771621828576,0.00860548458164513,-0.00692733088741136,0.0110747268218581,0.0220653006377864,-0.0046624888323336,-0.00745094442250762,0.00684268300558142,-0.00311631009560975,-0.00154819329642755,-0.00136572532051882,-0.00810946060200552,0.00235002379922679,-0.00112738160625039,-0.00450307533135364,0.0058419250741197,0.0169267872058824,0.0087114928767675,-0.000390375698759315,-0.00179065746546759,0.00121555553493514,0.00194339931744759,0.00931345815438306,0.00684043734141855,0.00295147613103451,-0.00166594991285974,-0.0146311349813902
